Epoch:40	OS: 0.691	OS*:0.670	Unk:0.910	Hos:0.771	ce: 0.416	entropy:0.332	virtual:0.484	ce_ep:0.257	adv:0.960
Epoch:41	OS: 0.693	OS*:0.668	Unk:0.942	Hos:0.781	ce: 0.404	entropy:0.321	virtual:0.468	ce_ep:0.338	adv:0.948
Epoch:42	OS: 0.700	OS*:0.676	Unk:0.939	Hos:0.786	ce: 0.368	entropy:0.360	virtual:0.432	ce_ep:0.300	adv:1.021
Epoch:43	OS: 0.698	OS*:0.674	Unk:0.943	Hos:0.786	ce: 0.399	entropy:0.330	virtual:0.466	ce_ep:0.273	adv:0.965
Epoch:44	OS: 0.688	OS*:0.663	Unk:0.938	Hos:0.777	ce: 0.409	entropy:0.316	virtual:0.476	ce_ep:0.297	adv:0.963
Epoch:45	OS: 0.689	OS*:0.663	Unk:0.954	Hos:0.782	ce: 0.402	entropy:0.356	virtual:0.462	ce_ep:0.243	adv:1.010
Epoch:46	OS: 0.691	OS*:0.666	Unk:0.946	Hos:0.782	ce: 0.386	entropy:0.327	virtual:0.446	ce_ep:0.231	adv:0.983
Epoch:47	OS: 0.711	OS*:0.691	Unk:0.906	Hos:0.784	ce: 0.400	entropy:0.293	virtual:0.461	ce_ep:0.286	adv:0.961
Epoch:48	OS: 0.686	OS*:0.657	Unk:0.973	Hos:0.784	ce: 0.394	entropy:0.282	virtual:0.454	ce_ep:0.385	adv:0.893
Epoch:49	OS: 0.713	OS*:0.693	Unk:0.913	Hos:0.788	ce: 0.391	entropy:0.306	virtual:0.447	ce_ep:0.296	adv:0.941
Epoch:50	OS: 0.681	OS*:0.653	Unk:0.966	Hos:0.779	ce: 0.391	entropy:0.302	virtual:0.449	ce_ep:0.281	adv:0.939
Epoch:51	OS: 0.697	OS*:0.673	Unk:0.939	Hos:0.784	ce: 0.372	entropy:0.307	virtual:0.426	ce_ep:0.325	adv:0.942
Epoch:52	OS: 0.716	OS*:0.694	Unk:0.941	Hos:0.799	ce: 0.441	entropy:0.282	virtual:0.501	ce_ep:0.327	adv:0.907
Epoch:53	OS: 0.684	OS*:0.656	Unk:0.965	Hos:0.781	ce: 0.399	entropy:0.286	virtual:0.455	ce_ep:0.400	adv:0.877
Epoch:54	OS: 0.691	OS*:0.663	Unk:0.973	Hos:0.788	ce: 0.409	entropy:0.334	virtual:0.472	ce_ep:0.250	adv:0.982
Epoch:55	OS: 0.691	OS*:0.664	Unk:0.959	Hos:0.785	ce: 0.389	entropy:0.344	virtual:0.446	ce_ep:0.245	adv:1.004
Epoch:56	OS: 0.706	OS*:0.683	Unk:0.936	Hos:0.790	ce: 0.406	entropy:0.320	virtual:0.464	ce_ep:0.219	adv:0.992
Epoch:57	OS: 0.689	OS*:0.663	Unk:0.946	Hos:0.780	ce: 0.420	entropy:0.302	virtual:0.479	ce_ep:0.269	adv:0.973
Epoch:58	OS: 0.684	OS*:0.656	Unk:0.969	Hos:0.782	ce: 0.380	entropy:0.318	virtual:0.439	ce_ep:0.215	adv:0.990
Epoch:59	OS: 0.693	OS*:0.666	Unk:0.956	Hos:0.785	ce: 0.391	entropy:0.299	virtual:0.448	ce_ep:0.294	adv:0.947
Epoch:60	OS: 0.703	OS*:0.677	Unk:0.961	Hos:0.795	ce: 0.361	entropy:0.313	virtual:0.418	ce_ep:0.298	adv:0.974
Epoch:61	OS: 0.689	OS*:0.663	Unk:0.948	Hos:0.780	ce: 0.410	entropy:0.290	virtual:0.467	ce_ep:0.208	adv:0.932
Epoch:62	OS: 0.691	OS*:0.664	Unk:0.969	Hos:0.788	ce: 0.336	entropy:0.291	virtual:0.386	ce_ep:0.419	adv:0.909
Epoch:63	OS: 0.686	OS*:0.660	Unk:0.946	Hos:0.777	ce: 0.372	entropy:0.306	virtual:0.425	ce_ep:0.191	adv:0.983
Epoch:64	OS: 0.693	OS*:0.666	Unk:0.958	Hos:0.786	ce: 0.384	entropy:0.273	virtual:0.440	ce_ep:0.222	adv:0.938
Epoch:65	OS: 0.691	OS*:0.664	Unk:0.969	Hos:0.788	ce: 0.351	entropy:0.299	virtual:0.402	ce_ep:0.213	adv:0.954
Epoch:66	OS: 0.687	OS*:0.659	Unk:0.969	Hos:0.785	ce: 0.353	entropy:0.299	virtual:0.405	ce_ep:0.182	adv:0.969
Epoch:67	OS: 0.679	OS*:0.650	Unk:0.971	Hos:0.778	ce: 0.351	entropy:0.261	virtual:0.403	ce_ep:0.282	adv:0.907
Epoch:68	OS: 0.699	OS*:0.674	Unk:0.951	Hos:0.789	ce: 0.407	entropy:0.284	virtual:0.463	ce_ep:0.221	adv:0.945
Epoch:69	OS: 0.693	OS*:0.666	Unk:0.960	Hos:0.787	ce: 0.398	entropy:0.272	virtual:0.454	ce_ep:0.315	adv:0.925
Best: Epoch:8	OS: 0.768	OS*:0.753	Unk:0.921	Hos:0.829
class_num12Namespace(all_classes=12, batch_size=8, data_dir='C:/Users/46025/Desktop/复现论文/osda2019/Reserve_to_Adapt/data/', gpu=0, learning_rate=6.25e-06, log_dir='C:/Users/46025/Desktop/复现论文/osda2019/Reserve_to_Adapt/log/of31/a2w_1', name='1', shared_classes=10, source='C:/Users/46025/Desktop/复现论文/osda2019/Reserve_to_Adapt/data/amazon_0-9_train_all.txt', target='C:/Users/46025/Desktop/复现论文/osda2019/Reserve_to_Adapt/data/webcam_0-9_20-30_test.txt', use_VGG=False)
